entity,perturbation_type,fact_type,true_value,wrong_value,question,correct_statement,false_premise
Alexander Borodin,categorical,work_genre_categorical,chamber music,conscious hip-hop,"Within the specific conventions of conscious hip-hop, how is the narrative structure of Alexander Borodin analyzed?","No, Alexander Borodin is a work of chamber music, not conscious hip-hop. It would not be analyzed under conscious hip-hop conventions.",The question incorrectly states conscious hip-hop instead of the correct value chamber music.
Alexander Calder,categorical,work_genre_categorical,abstract art,belletristic literature,"Within the specific conventions of belletristic literature, how is the narrative structure of Alexander Calder analyzed?","No, Alexander Calder is a work of abstract art, not belletristic literature. It would not be analyzed under belletristic literature conventions.",The question incorrectly states belletristic literature instead of the correct value abstract art.
Alexander Glazunov,categorical,work_genre_categorical,classical music,news magazine,"Within the specific conventions of news magazine, how is the narrative structure of Alexander Glazunov analyzed?","No, Alexander Glazunov is a work of classical music, not news magazine. It would not be analyzed under news magazine conventions.",The question incorrectly states news magazine instead of the correct value classical music.
Alexander Griboyedov,categorical,work_genre_categorical,comedy,Gypsy jazz,"Within the specific conventions of Gypsy jazz, how is the narrative structure of Alexander Griboyedov analyzed?","No, Alexander Griboyedov is a work of comedy, not Gypsy jazz. It would not be analyzed under Gypsy jazz conventions.",The question incorrectly states Gypsy jazz instead of the correct value comedy.
Alexander Grin,categorical,work_genre_categorical,novella,clay animation,"Within the specific conventions of clay animation, how is the narrative structure of Alexander Grin analyzed?","No, Alexander Grin is a work of novella, not clay animation. It would not be analyzed under clay animation conventions.",The question incorrectly states clay animation instead of the correct value novella.
Alexander Herzen,categorical,work_genre_categorical,literary criticism,fantasy comedy,"Within the specific conventions of fantasy comedy, how is the narrative structure of Alexander Herzen analyzed?","No, Alexander Herzen is a work of literary criticism, not fantasy comedy. It would not be analyzed under fantasy comedy conventions.",The question incorrectly states fantasy comedy instead of the correct value literary criticism.
Alexander Ostrovsky,categorical,work_genre_categorical,comedy,catalogue,"Within the specific conventions of catalogue, how is the narrative structure of Alexander Ostrovsky analyzed?","No, Alexander Ostrovsky is a work of comedy, not catalogue. It would not be analyzed under catalogue conventions.",The question incorrectly states catalogue instead of the correct value comedy.
Alexander Pope,categorical,work_genre_categorical,poetry,art,"Within the specific conventions of art, how is the narrative structure of Alexander Pope analyzed?","No, Alexander Pope is a work of poetry, not art. It would not be analyzed under art conventions.",The question incorrectly states art instead of the correct value poetry.
Alexander Pushkin,categorical,work_genre_categorical,criticism,Arthurian painting,"Within the specific conventions of Arthurian painting, how is the narrative structure of Alexander Pushkin analyzed?","No, Alexander Pushkin is a work of criticism, not Arthurian painting. It would not be analyzed under Arthurian painting conventions.",The question incorrectly states Arthurian painting instead of the correct value criticism.
Alexander Rybak,categorical,work_genre_categorical,adult contemporary music,libretto,"Within the specific conventions of libretto, how is the narrative structure of Alexander Rybak analyzed?","No, Alexander Rybak is a work of adult contemporary music, not libretto. It would not be analyzed under libretto conventions.",The question incorrectly states libretto instead of the correct value adult contemporary music.
Alexandre Dumas fils,categorical,work_genre_categorical,historical prose literature,American television sitcom,"Within the specific conventions of American television sitcom, how is the narrative structure of Alexandre Dumas fils analyzed?","No, Alexandre Dumas fils is a work of historical prose literature, not American television sitcom. It would not be analyzed under American television sitcom conventions.",The question incorrectly states American television sitcom instead of the correct value historical prose literature.
Alex Turner,categorical,work_genre_categorical,alternative rock,electronica,"Within the specific conventions of electronica, how is the narrative structure of Alex Turner analyzed?","No, Alex Turner is a work of alternative rock, not electronica. It would not be analyzed under electronica conventions.",The question incorrectly states electronica instead of the correct value alternative rock.
ALF,categorical,work_genre_categorical,science fiction television program,decoupage,"Within the specific conventions of decoupage, how is the narrative structure of ALF analyzed?","No, ALF is a work of science fiction television program, not decoupage. It would not be analyzed under decoupage conventions.",The question incorrectly states decoupage instead of the correct value science fiction television program.
