domain,head_entity,tail_entity,ungrounded_question,grounded_question,ground_truth,head_sitelinks,tail_sitelinks
film,Anna Karina,Vivre ensemble,"When was the film ""Vivre ensemble"" released?","When was Anna Karina's film ""Vivre ensemble"" released?",1973-01-01,52,3
film,Anne Bancroft,Fatso,"When was the film ""Fatso"" released?","When was Anne Bancroft's film ""Fatso"" released?",1980-01-01,84,3
film,Anne Heche,On the Edge,"When was the film ""On the Edge"" released?","When was Anne Heche's film ""On the Edge"" released?",2001-01-01,54,4
film,Annie Ernaux,The Super 8 Years,"When was the film ""The Super 8 Years"" released?","When was Annie Ernaux's film ""The Super 8 Years"" released?",2022-12-29,93,1
film,Anthony Hopkins,Dylan Thomas: Return Journey,"When was the film ""Dylan Thomas: Return Journey"" released?","When was Anthony Hopkins's film ""Dylan Thomas: Return Journey"" released?",1990-01-01,117,1
film,Anthony Minghella,A Little Like Drowning,"When was the film ""A Little Like Drowning"" released?","When was Anthony Minghella's film ""A Little Like Drowning"" released?",1978-01-01,55,2
film,Anthony Minghella,Beckett on Film,"When was the film ""Beckett on Film"" released?","When was Anthony Minghella's film ""Beckett on Film"" released?",2002-08-29,55,3
film,Anthony Perkins,Lucky Stiff,"When was the film ""Lucky Stiff"" released?","When was Anthony Perkins's film ""Lucky Stiff"" released?",1988-01-01,64,4
film,Asghar Farhadi,Dancing in the Dust,"When was the film ""Dancing in the Dust"" released?","When was Asghar Farhadi's film ""Dancing in the Dust"" released?",2003-06-23,60,9
film,Asghar Farhadi,The Beautiful City,"When was the film ""The Beautiful City"" released?","When was Asghar Farhadi's film ""The Beautiful City"" released?",2004-01-01,60,8
film,Assia Djebar,La Nouba des femmes du Mont Chenoua,"When was the film ""La Nouba des femmes du Mont Chenoua"" released?","When was Assia Djebar's film ""La Nouba des femmes du Mont Chenoua"" released?",1979-01-01,61,5
film,Assia Djebar,La Zerda ou les chants de l'oubli,"When was the film ""La Zerda ou les chants de l'oubli"" released?","When was Assia Djebar's film ""La Zerda ou les chants de l'oubli"" released?",1983-01-01,61,5
film,Auguste and Louis Lumière,Bonne d'enfants et soldat,"When was the film ""Bonne d'enfants et soldat"" released?","When was Auguste and Louis Lumière's film ""Bonne d'enfants et soldat"" released?",1897-01-01,80,1
film,Auguste and Louis Lumière,Devil's Pot,"When was the film ""Devil's Pot"" released?","When was Auguste and Louis Lumière's film ""Devil's Pot"" released?",1903-01-01,80,1
film,Auguste and Louis Lumière,Place de la Comédie,"When was the film ""Place de la Comédie"" released?","When was Auguste and Louis Lumière's film ""Place de la Comédie"" released?",1896-01-01,80,1
film,Baldur von Schirach,Der Nürnberger Parteitag der NSDAP,"When was the film ""Der Nürnberger Parteitag der NSDAP"" released?","When was Baldur von Schirach's film ""Der Nürnberger Parteitag der NSDAP"" released?",1929-01-01,54,3
film,Banksy,The Antics Roadshow,"When was the film ""The Antics Roadshow"" released?","When was Banksy's film ""The Antics Roadshow"" released?",2011-08-13,76,4
film,Barbra Streisand,Barbra: The Concert,"When was the film ""Barbra: The Concert"" released?","When was Barbra Streisand's film ""Barbra: The Concert"" released?",1994-08-21,108,1
film,Barbra Streisand,Barbra: The Music ... The Mem'ries ... The Magic!,"When was the film ""Barbra: The Music ... The Mem'ries ... The Magic!"" released?","When was Barbra Streisand's film ""Barbra: The Music ... The Mem'ries ... The Magic!"" released?",2017-11-22,108,0
film,Barbra Streisand,Timeless: Live in Concert,"When was the film ""Timeless: Live in Concert"" released?","When was Barbra Streisand's film ""Timeless: Live in Concert"" released?",2001-01-01,108,1
film,Barry Levinson,PoliWood,"When was the film ""PoliWood"" released?","When was Barry Levinson's film ""PoliWood"" released?",2009-01-01,53,4
film,Bella Thorne,Her & Him,"When was the film ""Her & Him"" released?","When was Bella Thorne's film ""Her & Him"" released?",2019-09-11,75,5
film,Ben Affleck,"I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney","When was the film ""I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney"" released?","When was Ben Affleck's film ""I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney"" released?",1993-01-01,111,8
film,Ben Gazzara,Beyond the Ocean,"When was the film ""Beyond the Ocean"" released?","When was Ben Gazzara's film ""Beyond the Ocean"" released?",1990-01-01,51,3
film,Ben Shapiro,Gregory Crewdson: Brief Encounters,"When was the film ""Gregory Crewdson: Brief Encounters"" released?","When was Ben Shapiro's film ""Gregory Crewdson: Brief Encounters"" released?",2012-01-01,51,2
film,Ben Stiller,Stiller & Meara: Nothing Is Lost,"When was the film ""Stiller & Meara: Nothing Is Lost"" released?","When was Ben Stiller's film ""Stiller & Meara: Nothing Is Lost"" released?",2025-10-17,85,1
film,Bernard-Henri Lévy,Bosna!,"When was the film ""Bosna!"" released?","When was Bernard-Henri Lévy's film ""Bosna!"" released?",1994-01-01,57,3
film,Bernard-Henri Lévy,Day and Night,"When was the film ""Day and Night"" released?","When was Bernard-Henri Lévy's film ""Day and Night"" released?",1997-01-01,57,5
film,Bernard-Henri Lévy,Glory to the Heroes (film),"When was the film ""Glory to the Heroes (film)"" released?","When was Bernard-Henri Lévy's film ""Glory to the Heroes (film)"" released?",2023-11-14,57,3
film,Bernard-Henri Lévy,Our War,"When was the film ""Our War"" released?","When was Bernard-Henri Lévy's film ""Our War"" released?",2025-05-13,57,3
film,Bernard-Henri Lévy,Slava Ukraini,"When was the film ""Slava Ukraini"" released?","When was Bernard-Henri Lévy's film ""Slava Ukraini"" released?",2023-02-22,57,2
film,Bernard-Henri Lévy,The Oath of Tobruk,"When was the film ""The Oath of Tobruk"" released?","When was Bernard-Henri Lévy's film ""The Oath of Tobruk"" released?",2012-01-01,57,2
film,Bernardo Bertolucci,12 registi per 12 città,"When was the film ""12 registi per 12 città"" released?","When was Bernardo Bertolucci's film ""12 registi per 12 città"" released?",1989-01-01,86,5
film,Bernardo Bertolucci,1900 (Part One),"When was the film ""1900 (Part One)"" released?","When was Bernardo Bertolucci's film ""1900 (Part One)"" released?",1976-01-01,86,0
film,Bernardo Bertolucci,1900 (Part Two),"When was the film ""1900 (Part Two)"" released?","When was Bernardo Bertolucci's film ""1900 (Part Two)"" released?",1976-01-01,86,0
film,Bernardo Bertolucci,Farewell to Enrico Berlinguer,"When was the film ""Farewell to Enrico Berlinguer"" released?","When was Bernardo Bertolucci's film ""Farewell to Enrico Berlinguer"" released?",1984-01-01,86,4
film,Bernardo Bertolucci,La via del petrolio,"When was the film ""La via del petrolio"" released?","When was Bernardo Bertolucci's film ""La via del petrolio"" released?",1967-01-01,86,3
film,Bernardo Bertolucci,Ten Minutes Older: The Cello,"When was the film ""Ten Minutes Older: The Cello"" released?","When was Bernardo Bertolucci's film ""Ten Minutes Older: The Cello"" released?",2002-01-01,86,2
film,Bertolt Brecht,Mann ist Mann,"When was the film ""Mann ist Mann"" released?","When was Bertolt Brecht's film ""Mann ist Mann"" released?",1931-01-01,154,1
film,Beyoncé,Homecoming: A Film by Beyoncé,"When was the film ""Homecoming: A Film by Beyoncé"" released?","When was Beyoncé's film ""Homecoming: A Film by Beyoncé"" released?",2019-04-17,173,9
film,Beyoncé,Renaissance: A Film by Beyoncé,"When was the film ""Renaissance: A Film by Beyoncé"" released?","When was Beyoncé's film ""Renaissance: A Film by Beyoncé"" released?",2023-12-01,173,6
film,Bill Cosby,Bill Cosby: Himself,"When was the film ""Bill Cosby: Himself"" released?","When was Bill Cosby's film ""Bill Cosby: Himself"" released?",1983-01-01,82,3
film,Billy Bob Thornton,Jayne Mansfield's Car,"When was the film ""Jayne Mansfield's Car"" released?","When was Billy Bob Thornton's film ""Jayne Mansfield's Car"" released?",2012-02-13,63,9
film,Billy Crystal,Here Today,"When was the film ""Here Today"" released?","When was Billy Crystal's film ""Here Today"" released?",2021-01-01,62,6
film,Billy Wilder,Death Mills,"When was the film ""Death Mills"" released?","When was Billy Wilder's film ""Death Mills"" released?",1945-01-01,80,8
film,Bing Crosby,Blue Skies,"When was the film ""Blue Skies"" released?","When was Bing Crosby's film ""Blue Skies"" released?",1946-01-01,121,9
film,Blake Edwards,Bring Your Smile Along,"When was the film ""Bring Your Smile Along"" released?","When was Blake Edwards's film ""Bring Your Smile Along"" released?",1955-01-01,55,7
film,Blake Edwards,Gunn,"When was the film ""Gunn"" released?","When was Blake Edwards's film ""Gunn"" released?",1967-01-01,55,9
film,Blake Edwards,He Laughed Last,"When was the film ""He Laughed Last"" released?","When was Blake Edwards's film ""He Laughed Last"" released?",1956-01-01,55,7
film,Bob Dylan,Eat the Document,"When was the film ""Eat the Document"" released?","When was Bob Dylan's film ""Eat the Document"" released?",1966-01-01,184,8
film,Bob Dylan,Renaldo and Clara,"When was the film ""Renaldo and Clara"" released?","When was Bob Dylan's film ""Renaldo and Clara"" released?",1978-01-25,184,8
film,Bob Hoskins,Rainbow,"When was the film ""Rainbow"" released?","When was Bob Hoskins's film ""Rainbow"" released?",1995-01-01,82,3
film,Bob Hoskins,The Raggedy Rawney,"When was the film ""The Raggedy Rawney"" released?","When was Bob Hoskins's film ""The Raggedy Rawney"" released?",1988-01-01,82,3
film,Bob Hoskins,Tube Tales,"When was the film ""Tube Tales"" released?","When was Bob Hoskins's film ""Tube Tales"" released?",1999-01-01,82,6
film,Bob Saget,Becoming Dick,"When was the film ""Becoming Dick"" released?","When was Bob Saget's film ""Becoming Dick"" released?",2000-01-01,70,2
film,Bong Joon-ho,Incoherence,"When was the film ""Incoherence"" released?","When was Bong Joon-ho's film ""Incoherence"" released?",1994-01-01,60,2
film,Bong Joon-ho,Influenza,"When was the film ""Influenza"" released?","When was Bong Joon-ho's film ""Influenza"" released?",2004-04-22,60,1
film,Bong Joon-ho,White Man,"When was the film ""White Man"" released?","When was Bong Joon-ho's film ""White Man"" released?",1994-01-01,60,1
film,Bonnie Wright,Know Thyself,"When was the film ""Know Thyself"" released?","When was Bonnie Wright's film ""Know Thyself"" released?",2014-01-01,63,2
film,Brian De Palma,Dionysus in '69,"When was the film ""Dionysus in '69"" released?","When was Brian De Palma's film ""Dionysus in '69"" released?",1970-01-01,68,8
film,Brian De Palma,Get to Know Your Rabbit,"When was the film ""Get to Know Your Rabbit"" released?","When was Brian De Palma's film ""Get to Know Your Rabbit"" released?",1972-01-01,68,7
film,Brian De Palma,Home Movies,"When was the film ""Home Movies"" released?","When was Brian De Palma's film ""Home Movies"" released?",1980-01-01,68,7
film,Brian De Palma,Murder a la Mod,"When was the film ""Murder a la Mod"" released?","When was Brian De Palma's film ""Murder a la Mod"" released?",1968-01-01,68,9
film,Brian De Palma,The Wedding Party,"When was the film ""The Wedding Party"" released?","When was Brian De Palma's film ""The Wedding Party"" released?",1969-01-01,68,9
film,Bruce Campbell,A Community Speaks,"When was the film ""A Community Speaks"" released?","When was Bruce Campbell's film ""A Community Speaks"" released?",2004-01-01,53,2
film,Bruce Campbell,Fanalysis,"When was the film ""Fanalysis"" released?","When was Bruce Campbell's film ""Fanalysis"" released?",2002-01-01,53,2
film,Bruce Campbell,Man with the Screaming Brain,"When was the film ""Man with the Screaming Brain"" released?","When was Bruce Campbell's film ""Man with the Screaming Brain"" released?",2005-01-01,53,7
film,Bruce Campbell,My Name Is Bruce,"When was the film ""My Name Is Bruce"" released?","When was Bruce Campbell's film ""My Name Is Bruce"" released?",2007-01-01,53,8
film,Bruce Lee,Game of Death Redux,"When was the film ""Game of Death Redux"" released?","When was Bruce Lee's film ""Game of Death Redux"" released?",2019-01-01,162,4
film,Bruce Springsteen,Hunter of Invisible Game,"When was the film ""Hunter of Invisible Game"" released?","When was Bruce Springsteen's film ""Hunter of Invisible Game"" released?",2014-07-09,106,1
film,Bruce Springsteen,Western Stars,"When was the film ""Western Stars"" released?","When was Bruce Springsteen's film ""Western Stars"" released?",2019-10-25,106,0
film,Bryan Cranston,Last Chance,"When was the film ""Last Chance"" released?","When was Bryan Cranston's film ""Last Chance"" released?",1999-01-01,87,3
film,Bryan Singer,Public Access,"When was the film ""Public Access"" released?","When was Bryan Singer's film ""Public Access"" released?",1993-01-01,52,9
film,Bryce Dallas Howard,Dads,"When was the film ""Dads"" released?","When was Bryce Dallas Howard's film ""Dads"" released?",2019-01-01,60,4
film,Bryce Dallas Howard,Orchids,"When was the film ""Orchids"" released?","When was Bryce Dallas Howard's film ""Orchids"" released?",2006-01-01,60,1
film,Burgess Meredith,A Welcome to Britain,"When was the film ""A Welcome to Britain"" released?","When was Burgess Meredith's film ""A Welcome to Britain"" released?",1943-01-01,63,2
film,Burgess Meredith,The Man on the Eiffel Tower,"When was the film ""The Man on the Eiffel Tower"" released?","When was Burgess Meredith's film ""The Man on the Eiffel Tower"" released?",1950-01-01,63,9
film,Burgess Meredith,The Yin and the Yang of Mr. Go,"When was the film ""The Yin and the Yang of Mr. Go"" released?","When was Burgess Meredith's film ""The Yin and the Yang of Mr. Go"" released?",1970-01-01,63,1
film,Burt Reynolds,Gator,"When was the film ""Gator"" released?","When was Burt Reynolds's film ""Gator"" released?",1976-08-20,75,7
film,Burt Reynolds,Hard Time,"When was the film ""Hard Time"" released?","When was Burt Reynolds's film ""Hard Time"" released?",1998-01-01,75,2
film,Burt Reynolds,Stick,"When was the film ""Stick"" released?","When was Burt Reynolds's film ""Stick"" released?",1985-01-01,75,7
film,Burt Reynolds,The End,"When was the film ""The End"" released?","When was Burt Reynolds's film ""The End"" released?",1978-05-10,75,6
film,Burt Reynolds,The Last Producer,"When was the film ""The Last Producer"" released?","When was Burt Reynolds's film ""The Last Producer"" released?",2000-01-01,75,3
film,Buster Keaton,Hollywood Handicap,"When was the film ""Hollywood Handicap"" released?","When was Buster Keaton's film ""Hollywood Handicap"" released?",1938-01-01,96,3
film,Carlos Saura,Antonieta,"When was the film ""Antonieta"" released?","When was Carlos Saura's film ""Antonieta"" released?",1982-01-01,57,9
film,Carlos Saura,Blindfolded Eyes,"When was the film ""Blindfolded Eyes"" released?","When was Carlos Saura's film ""Blindfolded Eyes"" released?",1978-01-01,57,8
film,Carlos Saura,Bunuel and King Solomon's Table,"When was the film ""Bunuel and King Solomon's Table"" released?","When was Carlos Saura's film ""Bunuel and King Solomon's Table"" released?",2001-09-08,57,9
